id,name,category
875859708,Св. Преображение,place_of_worship
875859711,Св. Петар и Св. Павле,place_of_worship
878683351,Св. Атанасиј,place_of_worship
878684024,Св. Димитриј Солунски,place_of_worship
878685767,Успение на Пресвета Богородица,place_of_worship
878685768,Св. Игнатиј Богоносец,place_of_worship
878691159,Св. Наум Охридски,place_of_worship
878692330,Св. Илија,place_of_worship
878697002,Св. Петар и Св. Павле,place_of_worship
878697004,Св. Недела,place_of_worship
878701112,Св. Петка,place_of_worship
878701119,Св. Петар и Св. Павле,place_of_worship
878959157,Св. Јован Крстител,place_of_worship
878963517,Св. Троица,place_of_worship
878998305,Успение на Пресвета Богородица,place_of_worship
879018904,Св. Атанасиј,place_of_worship
879479960,Св. Димитриј Солунски,place_of_worship
879480049,Св. Троица,place_of_worship
881167086,Манастир Св. Харалампие,place_of_worship
881329321,Св. Атанасиј,place_of_worship
881404052,Св. Василиј Велики,place_of_worship
885241548,Св. Никола,place_of_worship
888423769,Saint Varvara,place_of_worship
890955937,Св. Троица,place_of_worship
890955938,Св. Троица,place_of_worship
890980912,Св. Спас,place_of_worship
892436233,Св. Атанасиј,place_of_worship
892437325,Рождество на Пресвета Богородица,place_of_worship
892437328,Св. Троица,place_of_worship
892854382,Св. Георгиј,place_of_worship
892856574,Св. Димитриј Солунски,place_of_worship
893146887,Св. Никола,place_of_worship
893155844,Св. Георгиј,place_of_worship
893155853,Св. Петка,place_of_worship
893157875,Св. Димитриј Солунски,place_of_worship
893162092,Св. Георгиј,place_of_worship
896283098,Св. Недела,place_of_worship
898109803,Св. Архангел Михаил,place_of_worship
898110527,Св. Димитриј Солунски,place_of_worship
898526791,Св. Архангел Михаил,place_of_worship
899109414,Св. Петар и Павле,place_of_worship
899109416,Св. Петка,place_of_worship
899112204,Св. Димитириј Солунски,place_of_worship
899120041,Св. Спас,place_of_worship
899120914,Св. Никола,place_of_worship
899133478,Св. Георгиј,place_of_worship
899133481,Св. Петка,place_of_worship
899133492,Св. Илија,place_of_worship
899174326,Св. Димитриј Солунски,place_of_worship
899182415,Св. Спас,place_of_worship
899187911,Св. Димитриј Солунски,place_of_worship
899189635,Св. Атанасиј,place_of_worship
899192742,Св. Атанасиј,place_of_worship
899195536,Успение на Пресвета Богородица,place_of_worship
899253824,Св. Кирил и Методиј,place_of_worship
899255543,Св. Пантелејмон,place_of_worship
899318995,Воскресение Христово,place_of_worship
899449836,Св. Никола,place_of_worship
899453097,Рождение на Пресвета Богородица,place_of_worship
899459351,Св. Спас,place_of_worship
899465460,Св. Никола,place_of_worship
899473766,Св. Никола,place_of_worship
899474892,Св. Илија,place_of_worship
899479865,Св. Архангел Михаил,place_of_worship
899622219,Св. Параскева,place_of_worship
899627675,Св. Јован,place_of_worship
899627676,Св. Јован Богослов,place_of_worship
899631569,Св. Димитриј Солунски,place_of_worship
899632349,Св. Петка,place_of_worship
899632719,Св. Илија,place_of_worship
899633442,Св. Спас,place_of_worship
899641937,Св. Харалампиј,place_of_worship
899641954,Св. Атанасиј,place_of_worship
899641959,Св. Петка,place_of_worship
899652458,Св. Никола,place_of_worship
899655601,Св. Димитриј Солунски,place_of_worship
899660539,Св. Никола,place_of_worship
899660544,Успение на Пресвета Богородица,place_of_worship
899882841,Св. Спас,place_of_worship
899882847,Св. Спас,place_of_worship
899882855,Св. Архангел Михаил,place_of_worship
899882860,Св. Никола,place_of_worship
899882872,Рождество на Пресвета Богородица,place_of_worship
905616889,Св. Атанасиј,place_of_worship
905618275,Стара Џамија,place_of_worship
905876266,Св. Спас,place_of_worship
905876267,Св. Петка,place_of_worship
906593547,Св. Петка,place_of_worship
906807150,Св. Петар,place_of_worship
908868129,Св. Спас,place_of_worship
908868130,Св. Спас,place_of_worship
908868131,Св. Илија,place_of_worship
908868133,Св. Архангел Михаил,place_of_worship
908868134,Св. Петка и Св. Недела,place_of_worship
909263961,Св. Петка,place_of_worship
922282960,Св. Петка,place_of_worship
923390797,Xhamia e Lagjes së re,place_of_worship
925346948,Xhamia Jeshkovë,place_of_worship
